SMILES	name	PUBCHEM_COMPOUND_CID	PUBCHEM_COMPOUND_CANONICALIZED	PUBCHEM_CACTVS_COMPLEXITY	PUBCHEM_CACTVS_HBOND_ACCEPTOR	PUBCHEM_CACTVS_HBOND_DONOR	PUBCHEM_CACTVS_ROTATABLE_BOND	PUBCHEM_CACTVS_SUBSKEYS	PUBCHEM_IUPAC_OPENEYE_NAME	PUBCHEM_IUPAC_CAS_NAME	PUBCHEM_IUPAC_NAME	PUBCHEM_IUPAC_SYSTEMATIC_NAME	PUBCHEM_IUPAC_TRADITIONAL_NAME	PUBCHEM_IUPAC_INCHI	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_XLOGP3	PUBCHEM_EXACT_MASS	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT	PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_OPENEYE_ISO_SMILES	PUBCHEM_CACTVS_TPSA	PUBCHEM_MONOISOTOPIC_WEIGHT	PUBCHEM_TOTAL_CHARGE	PUBCHEM_HEAVY_ATOM_COUNT	PUBCHEM_ATOM_DEF_STEREO_COUNT	PUBCHEM_ATOM_UDEF_STEREO_COUNT	PUBCHEM_BOND_DEF_STEREO_COUNT	PUBCHEM_BOND_UDEF_STEREO_COUNT	PUBCHEM_ISOTOPIC_ATOM_COUNT	PUBCHEM_COMPONENT_COUNT	PUBCHEM_CACTVS_TAUTO_COUNT	PUBCHEM_COORDINATE_TYPE	PUBCHEM_BONDANNOTATIONS
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	985	985	1	178	2	1	14	AAADcfB4MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACACAgAACCAAAAgAIAACQCAAAAAAAAAAAAAEAAAAAABIAAAAAQAAEAAAAAAGIyKCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	"palmitic acid"	"hexadecanoic acid"	"hexadecanoic acid"	"hexadecanoic acid"	"palmitic acid"	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	IPCSVZSSVZVIGE-UHFFFAOYSA-N	6.4	256.24	C16H32O2	256.43	CCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCC(=O)O	37.3	256.24	0	18	0	1	0	0	0	1	-1	"1\n5\n255"	"14  41  3"
[H]C1=NC([H])=C([H])C([H])=C1[H]	1049	1049	1	30.9	1	0	0	AAADcYBiAAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHAAAAAAACADBEgQ8gJIIEACgADBnRACCgCAxAiAI2CA4ZJgIIOLAkZGEIAhggADIyAYQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	pyridine	pyridine	pyridine	pyridine	pyridine	InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H	JUJWROOIHBZHMG-UHFFFAOYSA-N	0.7	79.042	C5H5N	79.102	C1=CC=NC=C1	C1=CC=NC=C1	12.9	79.042	0	6	0	0	0	0	0	1	-1	"1\n5\n255"	"1  5  8\n1  6  8\n2  3  8\n2  4  8\n3  5  8\n4  6  8"
[H]OC(=O)C(\[H])=C(/[H])C1=C(OC([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C(C([H])=C1[H])C([H])([H])N1C([H])=NC([H])=C1[H]	10294289	10294289	1	581	4	1	8	AAADceB7MAAAAAAAAAAAAAAAAAAAAWAAAAAwYMAAAAAAAADB1AAAHgAACAAADAThmgY9ntcMFgCoAjD3bACCiC0xMqAJyAAePMiMbiKEuRuWOCjswBOIuaewwPAOwAADAAAYAACAAAYAADAAAAAAAAAAAA==	"(~{E})-3-[4-(imidazol-1-ylmethyl)-2-[2-(2-naphthyl)ethoxy]phenyl]prop-2-enoic acid"	"(~{E})-3-[4-(1-imidazolylmethyl)-2-[2-(2-naphthalenyl)ethoxy]phenyl]-2-propenoic acid"	"(~{E})-3-[4-(imidazol-1-ylmethyl)-2-(2-naphthalen-2-ylethoxy)phenyl]prop-2-enoic acid"	"(~{E})-3-[4-(imidazol-1-ylmethyl)-2-(2-naphthalen-2-ylethoxy)phenyl]prop-2-enoic acid"	"(~{E})-3-[4-(imidazol-1-ylmethyl)-2-[2-(2-naphthyl)ethoxy]phenyl]acrylic acid"	InChI=1S/C25H22N2O3/c28-25(29)10-9-22-8-6-20(17-27-13-12-26-18-27)16-24(22)30-14-11-19-5-7-21-3-1-2-4-23(21)15-19/h1-10,12-13,15-16,18H,11,14,17H2,(H,28,29)/b10-9+	IWLZOZCKKUEBQR-MDZDMXLPSA-N		398.163	C25H22N2O3	398.462	C1=CC=C2C=C(C=CC2=C1)CCOC3=C(C=CC(=C3)CN4C=CN=C4)C=CC(=O)O	C1=CC=C2C=C(C=CC2=C1)CCOC3=C(C=CC(=C3)CN4C=CN=C4)/C=C/C(=O)O	64.4	398.163	0	30	0	0	1	0	0	1	-1	"1\n5\n255"	"11  15  8\n11  17  8\n12  13  8\n12  14  8\n12  21  8\n14  18  8\n14  22  8\n16  18  8\n17  20  8\n19  20  8\n21  23  8\n22  25  8\n23  25  8\n26  28  8\n4  26  8\n4  27  8\n5  27  8\n5  28  8\n7  13  8\n7  16  8\n9  15  8\n9  19  8"	4.7
[H]OC1=C(C([H])=C([H])C(N([H])C2=C3C([H])=C([H])C(Cl)=C([H])C3=NC([H])=C2[H])=C1[H])C([H])([H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	10316203	10316203	1	428	4	3	5	AAADceB7IAAEAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAACx9AAAHgIQCAAADI7BniQ+xvLIEgCgAzRnRACCgCAxJyAI2KA+bpgIJuLD09OEdAhm0BnI2AeQ0KMODAAAAgIKAAAYAAAEBBQAAAAAAAAAAA==	2-[(~{tert}-butylamino)methyl]-5-[(7-chloro-4-quinolyl)amino]phenol	2-[(~{tert}-butylamino)methyl]-5-[(7-chloro-4-quinolinyl)amino]phenol	2-[(~{tert}-butylamino)methyl]-5-[(7-chloroquinolin-4-yl)amino]phenol	2-[(~{tert}-butylamino)methyl]-5-[(7-chloranylquinolin-4-yl)amino]phenol	2-[(~{tert}-butylamino)methyl]-5-[(7-chloro-4-quinolyl)amino]phenol	InChI=1S/C20H22ClN3O/c1-20(2,3)23-12-13-4-6-15(11-19(13)25)24-17-8-9-22-18-10-14(21)5-7-16(17)18/h4-11,23,25H,12H2,1-3H3,(H,22,24)	ZVMMVSSEAMUNGI-UHFFFAOYSA-N	2.9	355.145	C20H22ClN3O	355.866	CC(C)(C)NCC1=C(C=C(C=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O	CC(C)(C)NCC1=C(C=C(C=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O	57.2	355.145	0	25	0	0	0	0	0	1	-1	"1\n5\n255"	"11  12  8\n11  13  8\n12  15  8\n13  16  8\n14  15  8\n14  16  8\n17  18  8\n17  20  8\n18  19  8\n18  21  8\n19  22  8\n20  23  8\n21  24  8\n22  25  8\n24  25  8\n5  19  8\n5  23  8"	
[H]OC(C1=C(N([H])C(=O)C([H])=C(C([H])([H])[H])C([H])([H])[H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])(C(F)(F)F)C(F)(F)F	10318275	10318275	1	565	8	2	3	AAADccB6McAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAADBUAAAHwAQCAAADEyBmBAywMLAAgCIAiVSUACCAAAhAAAIiAAATMgIJiLAkZGEcAhm1AHI2QeQwPAOwAACQAASAACAAASAACQAAAAAAAAAAA==	3-methyl-~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]but-2-enamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-1-naphthalenyl]-3-methyl-2-butenamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)naphthalen-1-yl]-3-methylbut-2-enamide	~{N}-[2-[1,1,1,3,3,3-hexakis(fluoranyl)-2-oxidanyl-propan-2-yl]naphthalen-1-yl]-3-methyl-but-2-enamide	3-methyl-~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]but-2-enamide	InChI=1S/C18H15F6NO2/c1-10(2)9-14(26)25-15-12-6-4-3-5-11(12)7-8-13(15)16(27,17(19,20)21)18(22,23)24/h3-9,27H,1-2H3,(H,25,26)	ZJEWUZAKMLXIOP-UHFFFAOYSA-N		391.101	C18H15F6NO2	391.313	CC(=CC(=O)NC1=C(C=CC2=CC=CC=C21)C(C(F)(F)F)(C(F)(F)F)O)C	CC(=CC(=O)NC1=C(C=CC2=CC=CC=C21)C(C(F)(F)F)(C(F)(F)F)O)C	49.3	391.101	0	27	0	0	0	0	0	1	-1	"1\n5\n255"	"11  12  8\n11  16  8\n12  13  8\n13  17  8\n13  19  8\n16  18  8\n17  18  8\n17  20  8\n19  21  8\n20  22  8\n21  22  8"	5.5
[H]OC(C1=C(N([H])C(=O)C2=C([H])C(Cl)=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])(C(F)(F)F)C(F)(F)F	10321411	10321411	1	611	8	2	3	AAADccB6McAEAAAAAAAAAAAAAAAAAAAAAAAwYMAAAAAAAADBVAAAHwIQCAAADE6BmDAwwMLAAgCIAiVSUACCAAAlBQAIiAEATsgIJjLBl5GEcQhmxAHI2YeYyPCOwAACYAASAACAAATAACQAAAAAAAAAAA==	3-chloro-~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]benzamide	3-chloro-~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-1-naphthalenyl]benzamide	3-chloro-~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)naphthalen-1-yl]benzamide	3-chloranyl-~{N}-[2-[1,1,1,3,3,3-hexakis(fluoranyl)-2-oxidanyl-propan-2-yl]naphthalen-1-yl]benzamide	3-chloro-~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]benzamide	InChI=1S/C20H12ClF6NO2/c21-13-6-3-5-12(10-13)17(29)28-16-14-7-2-1-4-11(14)8-9-15(16)18(30,19(22,23)24)20(25,26)27/h1-10,30H,(H,28,29)	VMKJKSGGERWXIK-UHFFFAOYSA-N		447.046	C20H12ClF6NO2	447.761	C1=CC=C2C(=C1)C=CC(=C2NC(=O)C3=CC(=CC=C3)Cl)C(C(F)(F)F)(C(F)(F)F)O	C1=CC=C2C(=C1)C=CC(=C2NC(=O)C3=CC(=CC=C3)Cl)C(C(F)(F)F)(C(F)(F)F)O	49.3	447.046	0	30	0	0	0	0	0	1	-1	"1\n5\n255"	"12  13  8\n12  17  8\n13  14  8\n14  18  8\n14  20  8\n17  19  8\n18  19  8\n18  21  8\n20  22  8\n21  23  8\n22  23  8\n25  26  8\n25  27  8\n26  28  8\n27  29  8\n28  30  8\n29  30  8"	6.4
[H]OC(C1=C(N([H])C(=O)C2=C([H])C([H])=C([H])O2)C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])(C(F)(F)F)C(F)(F)F	10341099	10341099	1	565	9	2	3	AAADccB6McAAAAAAAAAAAAAAAAAAASAAAAAwYAAAAAAAAADB1AAAHwAQCAAADEyhmBIwxMLABkCIAq1S0AKCCAAlIAAIiAHGTMgOJjLEtb+HeSjmxBHY+YeY1/IOwAACQAASAACAAASAACQAAAAAAAAAAA==	~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]furan-2-carboxamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-1-naphthalenyl]-2-furancarboxamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)naphthalen-1-yl]furan-2-carboxamide	~{N}-[2-[1,1,1,3,3,3-hexakis(fluoranyl)-2-oxidanyl-propan-2-yl]naphthalen-1-yl]furan-2-carboxamide	~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]-2-furamide	InChI=1S/C18H11F6NO3/c19-17(20,21)16(27,18(22,23)24)12-8-7-10-4-1-2-5-11(10)14(12)25-15(26)13-6-3-9-28-13/h1-9,27H,(H,25,26)	ZHQAGDYDOOCGBH-UHFFFAOYSA-N		403.064	C18H11F6NO3	403.28	C1=CC=C2C(=C1)C=CC(=C2NC(=O)C3=CC=CO3)C(C(F)(F)F)(C(F)(F)F)O	C1=CC=C2C(=C1)C=CC(=C2NC(=O)C3=CC=CO3)C(C(F)(F)F)(C(F)(F)F)O	62.5	403.064	0	28	0	0	0	0	0	1	-1	"1\n5\n255"	"12  13  8\n12  17  8\n13  14  8\n14  18  8\n14  20  8\n17  19  8\n18  19  8\n18  21  8\n20  22  8\n21  23  8\n22  23  8\n25  26  8\n26  27  8\n27  28  8\n8  25  8\n8  28  8"	5.2
[H]OC(C1=C(N([H])C(=O)C2([H])C([H])([H])C2([H])[H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])(C(F)(F)F)C(F)(F)F	10362210	10362210	1	528	8	2	3	AAADccB6McAAAAAAAAAAAAAAGAAAAAAAAAAwYAAAAAAAAADBUAAAHwAQCAAADUyBmBAwwMLAAgCIAiVSUACCAAAhAAAIiAEATIgIJjLAkZGEcAhm1AHI2AeQwPAOwAACQAASAACAAASAACQAAAAAAAAAAA==	~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]cyclopropanecarboxamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-1-naphthalenyl]cyclopropanecarboxamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)naphthalen-1-yl]cyclopropanecarboxamide	~{N}-[2-[1,1,1,3,3,3-hexakis(fluoranyl)-2-oxidanyl-propan-2-yl]naphthalen-1-yl]cyclopropanecarboxamide	~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]cyclopropanecarboxamide	InChI=1S/C17H13F6NO2/c18-16(19,20)15(26,17(21,22)23)12-8-7-9-3-1-2-4-11(9)13(12)24-14(25)10-5-6-10/h1-4,7-8,10,26H,5-6H2,(H,24,25)	KCAQQXULGXEZEX-UHFFFAOYSA-N		377.085	C17H13F6NO2	377.286	C1CC1C(=O)NC2=C(C=CC3=CC=CC=C32)C(C(F)(F)F)(C(F)(F)F)O	C1CC1C(=O)NC2=C(C=CC3=CC=CC=C32)C(C(F)(F)F)(C(F)(F)F)O	49.3	377.085	0	26	0	0	0	0	0	1	-1	"1\n5\n255"	"14  15  8\n14  17  8\n15  18  8\n17  19  8\n17  23  8\n18  22  8\n19  22  8\n19  24  8\n23  25  8\n24  26  8\n25  26  8"	4.6
[H]OC(C1=C(N([H])C(=O)C2=C([H])C([H])=C([H])C(=C2[H])C([H])([H])[H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])(C(F)(F)F)C(F)(F)F	10365187	10365187	1	606	8	2	3	AAADccB6McAAAAAAAAAAAAAAAAAAAAAAAAAwYMAAAAAAAADBVAAAHwAQCAAADEyBmBAywMLAAgCIAiVSUACCAAAlAAAIiAEATMgIJjLAlZGEcQhmxAHI2YeYyPCOwAACQAASAACAAASAACQAAAAAAAAAAA==	3-methyl-~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]benzamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-1-naphthalenyl]-3-methylbenzamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)naphthalen-1-yl]-3-methylbenzamide	~{N}-[2-[1,1,1,3,3,3-hexakis(fluoranyl)-2-oxidanyl-propan-2-yl]naphthalen-1-yl]-3-methyl-benzamide	3-methyl-~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]benzamide	InChI=1S/C21H15F6NO2/c1-12-5-4-7-14(11-12)18(29)28-17-15-8-3-2-6-13(15)9-10-16(17)19(30,20(22,23)24)21(25,26)27/h2-11,30H,1H3,(H,28,29)	YDOBSPJHPMWVKS-UHFFFAOYSA-N		427.101	C21H15F6NO2	427.346	CC1=CC=CC(=C1)C(=O)NC2=C(C=CC3=CC=CC=C32)C(C(F)(F)F)(C(F)(F)F)O	CC1=CC=CC(=C1)C(=O)NC2=C(C=CC3=CC=CC=C32)C(C(F)(F)F)(C(F)(F)F)O	49.3	427.101	0	30	0	0	0	0	0	1	-1	"1\n5\n255"	"11  12  8\n11  16  8\n12  13  8\n13  17  8\n13  19  8\n16  18  8\n17  18  8\n17  20  8\n19  22  8\n20  23  8\n22  23  8\n24  25  8\n24  26  8\n25  27  8\n26  28  8\n27  29  8\n28  29  8"	6.1
[H]OC([H])([H])C([H])([H])[C@@]1([H])N([H])[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H]	10374978	10374978	1	143	5	5	3	AAADccBiOAAAAAAAAAAAAAAAAAAAAWAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACDzhgAYAAALAAgAAAAAAAAAAAAAAAAAAAIAIAAADEAIAgAAEQAAHEACRAAHQ8CUAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	(2~{R},3~{R},4~{R},5~{R})-2-(2-hydroxyethyl)-5-(hydroxymethyl)pyrrolidine-3,4-diol	(2~{R},3~{R},4~{R},5~{R})-2-(2-hydroxyethyl)-5-(hydroxymethyl)pyrrolidine-3,4-diol	(2~{R},3~{R},4~{R},5~{R})-2-(2-hydroxyethyl)-5-(hydroxymethyl)pyrrolidine-3,4-diol	(2~{R},3~{R},4~{R},5~{R})-2-(2-hydroxyethyl)-5-(hydroxymethyl)pyrrolidine-3,4-diol	(2~{R},3~{R},4~{R},5~{R})-2-(2-hydroxyethyl)-5-methylol-pyrrolidine-3,4-diol	InChI=1S/C7H15NO4/c9-2-1-4-6(11)7(12)5(3-10)8-4/h4-12H,1-3H2/t4-,5-,6-,7-/m1/s1	AGFACLQFIYFFOI-DBRKOABJSA-N		177.1	C7H15NO4	177.2	C(CO)C1C(C(C(N1)CO)O)O	C(CO)[C@@H]1[C@H]([C@@H]([C@H](N1)CO)O)O	93	177.1	0	12	4	0	0	0	0	1	-1	"1\n5\n255"	"7  1  5\n9  2  6\n6  10  6\n8  11  5"	-2
[H]OC(C1=C(N([H])C(=O)C2=C([H])N=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])(C(F)(F)F)C(F)(F)F	10431921	10431921	1	580	9	2	3	AAADccB7McAAAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAADB1AAAHwAQCAAADEzBmhQ8wNLIEgCoAjV3VACCgCA1AiAI2CE4bNgIJvrA1ZGEcYhmxAHI2ceYwfAOwAACQAASAACAAASAACQAAAAAAAAAAA==	~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]pyridine-3-carboxamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-1-naphthalenyl]-3-pyridinecarboxamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)naphthalen-1-yl]pyridine-3-carboxamide	~{N}-[2-[1,1,1,3,3,3-hexakis(fluoranyl)-2-oxidanyl-propan-2-yl]naphthalen-1-yl]pyridine-3-carboxamide	~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]nicotinamide	InChI=1S/C19H12F6N2O2/c20-18(21,22)17(29,19(23,24)25)14-8-7-11-4-1-2-6-13(11)15(14)27-16(28)12-5-3-9-26-10-12/h1-10,29H,(H,27,28)	PSEYYXAAEVTFBP-UHFFFAOYSA-N		414.08	C19H12F6N2O2	414.307	C1=CC=C2C(=C1)C=CC(=C2NC(=O)C3=CN=CC=C3)C(C(F)(F)F)(C(F)(F)F)O	C1=CC=C2C(=C1)C=CC(=C2NC(=O)C3=CN=CC=C3)C(C(F)(F)F)(C(F)(F)F)O	62.2	414.08	0	29	0	0	0	0	0	1	-1	"1\n5\n255"	"10  27  8\n10  29  8\n12  13  8\n12  17  8\n13  14  8\n14  18  8\n14  20  8\n17  19  8\n18  19  8\n18  21  8\n20  22  8\n21  23  8\n22  23  8\n25  26  8\n25  27  8\n26  28  8\n28  29  8"	4.7
[H]OC(C1=C(N([H])C(=O)C2=C([H])C([H])=C(Cl)C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])(C(F)(F)F)C(F)(F)F	10433766	10433766	1	603	8	2	3	AAADccB6McAEAAAAAAAAAAAAAAAAAAAAAAAwYMAAAAAAAADBVAAAHwIQCAAADE6BmDAwwMLAAgCIAiVSUACCAAAlBQAIiAEATsgIJjLBl5GEcQhmxAHI2YeYyPCOxAACQAASAACIAASAACQAAAAAAAAAAA==	4-chloro-~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]benzamide	4-chloro-~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-1-naphthalenyl]benzamide	4-chloro-~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)naphthalen-1-yl]benzamide	4-chloranyl-~{N}-[2-[1,1,1,3,3,3-hexakis(fluoranyl)-2-oxidanyl-propan-2-yl]naphthalen-1-yl]benzamide	4-chloro-~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]benzamide	InChI=1S/C20H12ClF6NO2/c21-13-8-5-12(6-9-13)17(29)28-16-14-4-2-1-3-11(14)7-10-15(16)18(30,19(22,23)24)20(25,26)27/h1-10,30H,(H,28,29)	WTTVVKWEIRRULU-UHFFFAOYSA-N		447.046	C20H12ClF6NO2	447.761	C1=CC=C2C(=C1)C=CC(=C2NC(=O)C3=CC=C(C=C3)Cl)C(C(F)(F)F)(C(F)(F)F)O	C1=CC=C2C(=C1)C=CC(=C2NC(=O)C3=CC=C(C=C3)Cl)C(C(F)(F)F)(C(F)(F)F)O	49.3	447.046	0	30	0	0	0	0	0	1	-1	"1\n5\n255"	"12  13  8\n12  17  8\n13  14  8\n14  18  8\n14  20  8\n17  19  8\n18  19  8\n18  21  8\n20  22  8\n21  23  8\n22  23  8\n25  26  8\n25  27  8\n26  28  8\n27  29  8\n28  30  8\n29  30  8"	6.4
[H]OC(C1=C(N([H])C(=O)C([H])([H])C([H])([H])[H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])(C(F)(F)F)C(F)(F)F	10451456	10451456	1	476	8	2	3	AAADccB6McAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAADBUAAAHwAQCAAADEyBmBAywMLAAgCIAiVSUACCAAAhAAAIiAEATIgIJiLAkZGEcAhm1AHI2AeQwPAOwAACQAASAACAAASAACQAAAAAAAAAAA==	~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]propanamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)-1-naphthalenyl]propanamide	~{N}-[2-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)naphthalen-1-yl]propanamide	~{N}-[2-[1,1,1,3,3,3-hexakis(fluoranyl)-2-oxidanyl-propan-2-yl]naphthalen-1-yl]propanamide	~{N}-[2-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]-1-naphthyl]propionamide	InChI=1S/C16H13F6NO2/c1-2-12(24)23-13-10-6-4-3-5-9(10)7-8-11(13)14(25,15(17,18)19)16(20,21)22/h3-8,25H,2H2,1H3,(H,23,24)	NTSVSXZWCKTFAR-UHFFFAOYSA-N		365.085	C16H13F6NO2	365.275	CCC(=O)NC1=C(C=CC2=CC=CC=C21)C(C(F)(F)F)(C(F)(F)F)O	CCC(=O)NC1=C(C=CC2=CC=CC=C21)C(C(F)(F)F)(C(F)(F)F)O	49.3	365.085	0	25	0	0	0	0	0	1	-1	"1\n5\n255"	"11  12  8\n11  16  8\n12  13  8\n13  17  8\n13  19  8\n16  18  8\n17  18  8\n17  20  8\n19  21  8\n20  23  8\n21  23  8"	4.6
[H]N(C1=NC([H])=C(C(=O)N([H])C([H])([H])C2=C([H])C([H])=NC([H])=C2[H])C(=N1)C(F)(F)F)C1=C([H])C(Cl)=C([H])C([H])=C1[H]	10454092	10454092	1	518	8	2	5	AAADccB7oYAEAAAAAAAAAAAAAAAAAAAAAAA8WIAAAAAAAAAB8AAAHwIQAAAADArBnjQ90JbIEACoAzV3dACCgCk1B6AJ2KE4ZtiIKPrB29GEJYholgLIyecQAAAKAAAAAAIAAAAAAAAABAAAAAAAAAAAAA==	2-(3-chloroanilino)-~{N}-(4-pyridylmethyl)-4-(trifluoromethyl)pyrimidine-5-carboxamide	2-(3-chloroanilino)-~{N}-(pyridin-4-ylmethyl)-4-(trifluoromethyl)-5-pyrimidinecarboxamide	2-(3-chloroanilino)-~{N}-(pyridin-4-ylmethyl)-4-(trifluoromethyl)pyrimidine-5-carboxamide	2-[(3-chlorophenyl)amino]-~{N}-(pyridin-4-ylmethyl)-4-(trifluoromethyl)pyrimidine-5-carboxamide	2-(3-chloroanilino)-~{N}-(4-pyridylmethyl)-4-(trifluoromethyl)pyrimidine-5-carboxamide	InChI=1S/C18H13ClF3N5O/c19-12-2-1-3-13(8-12)26-17-25-10-14(15(27-17)18(20,21)22)16(28)24-9-11-4-6-23-7-5-11/h1-8,10H,9H2,(H,24,28)(H,25,26,27)	HLCPJLIYGNWTAI-UHFFFAOYSA-N		407.076	C18H13ClF3N5O	407.781	C1=CC(=CC(=C1)Cl)NC2=NC=C(C(=N2)C(F)(F)F)C(=O)NCC3=CC=NC=C3	C1=CC(=CC(=C1)Cl)NC2=NC=C(C(=N2)C(F)(F)F)C(=O)NCC3=CC=NC=C3	79.8	407.076	0	28	0	0	0	0	0	1	9	"1\n5\n255"	"10  26  8\n10  27  8\n11  13  8\n11  17  8\n15  20  8\n15  21  8\n18  22  8\n18  23  8\n20  26  8\n21  27  8\n22  24  8\n23  25  8\n24  28  8\n25  28  8\n8  13  8\n8  16  8\n9  16  8\n9  17  8"	3.3
